task_id,title,category,tags,street,city,governorate,country,address,rating,deadline,price,status,description
1,Kitchen Plumbing Installation,plumbing,"['pipes', 'repairs', 'installation']",Al Ahram Street,Suez,Suez,Egypt,"47 Al Ahram Street, Suez, Suez, Egypt",1,2024-03-13,625,open,Replace old and faulty kitchen plumbing components with new ones to prevent leaks and water damage.
2,Personalized Home Cooking,home-made cooking,['meals'],El Nozha Street,Ashmoun,Monufia,Egypt,"13 El Nozha Street, Ashmoun, Monufia, Egypt",2,2024-03-19,65,cancelled,"Cater to special dietary requirements such as vegan, vegetarian, gluten-free, and keto-friendly diets."
3,Social Media Marketing Campaign,social media management,"['ads', 'analytics', 'engagement', 'ads']",July 26th Street,Farafra,New Valley,Egypt,"16 July 26th Street, Farafra, New Valley, Egypt",5,2024-04-01,185,cancelled,"Develop and implement strategic social media marketing campaigns to increase brand awareness, engagement, and conversions across various platforms, including Facebook, Instagram, Twitter, LinkedIn, and Pinterest."
4,Deep Cleaning Service,cleaning,"['maintenance', 'maintenance', 'residential', 'sanitization', 'maintenance']",Ahmed Orabi Street,Damietta,Damietta,Egypt,"17 Ahmed Orabi Street, Damietta, Damietta, Egypt",8,2024-05-13,395,cancelled,"Disinfect high-touch surfaces such as doorknobs, light switches, and handles to eliminate germs and bacteria."
5,Market Research and Analysis,marketing,"['promotion', 'promotion', 'SEO', 'SEO', 'strategy']",Salah Salem Street,Faraskur,Damietta,Egypt,"84 Salah Salem Street, Faraskur, Damietta, Egypt",10,2024-05-04,580,cancelled,"Collect and analyze primary and secondary research sources, including surveys, interviews, focus groups, industry reports, and market data, to identify opportunities, threats, and growth drivers."
6,International Shipping Solutions,shipping,"['domestic', 'freight', 'domestic', 'domestic', 'international']",Gezira Street,Kafr El Sheikh,Kafr El Sheikh,Egypt,"91 Gezira Street, Kafr El Sheikh, Kafr El Sheikh, Egypt",10,2024-03-16,590,done,Ensure compliance with international shipping regulations and standards to facilitate smooth and hassle-free delivery.
7,Furniture Assembly Assistance,furniture assembly,"['repair', 'installation']",El Nasr Street,Mitt Ghamr,Dakahlia,Egypt,"23 El Nasr Street, Mitt Ghamr, Dakahlia, Egypt",7,2024-03-20,985,cancelled,"Assemble a wide range of furniture pieces such as beds, sofas, tables, chairs, desks and shelves."
8,Electrical Troubleshooting Services,electrical help,"['troubleshooting', 'repairs', 'maintenance', 'installation']",Al Nahda Street,Shibin El Kom,Monufia,Egypt,"61 Al Nahda Street, Shibin El Kom, Monufia, Egypt",7,2024-02-17,110,done,"Identify and repair common electrical problems such as power outages, circuit breaker trips, flickering lights, and electrical shocks."
9,Personalized Home Cooking,home-made cooking,"['catering', 'catering', 'meals', 'personal chef']",Gezira Street,Shubra El-Kheima,Qalyubia,Egypt,"35 Gezira Street, Shubra El-Kheima, Qalyubia, Egypt",5,2024-04-18,775,cancelled,"Offer personalized home cooking services tailored to individual tastes, dietary preferences, and nutritional needs."
10,SEO Optimization Services,SEO services,"['keywords', 'rankings']",Al-Azhar Street,Kharga,New Valley,Egypt,"46 Al-Azhar Street, Kharga, New Valley, Egypt",7,2024-04-19,795,open,"Monitor SEO performance metrics such as organic traffic, keyword rankings, backlink profile, and conversion rates using analytics tools to measure success and refine strategies over time."
11,Home Maintenance Assistance,home maintenance,"['inspection', 'repairs', 'inspection', 'upkeep', 'inspection']",Ahmed Orabi Street,Shubra El-Kheima,Cairo,Egypt,"19 Ahmed Orabi Street, Shubra El-Kheima, Cairo, Egypt",6,2024-03-18,945,done,"Offer reliable and cost-effective solutions for home maintenance needs, including seasonal preparations and emergency repairs."
12,Landscape Design and Installation,gardening services,"['landscaping', 'lawn care', 'planting']",El Nozha Street,Ras El Bar,Kafr El Sheikh,Egypt,"34 El Nozha Street, Ras El Bar, Kafr El Sheikh, Egypt",6,2024-04-20,105,pending,"Design outdoor living spaces, gardens, hardscapes, and water features using a combination of plants, trees, shrubs, and decorative elements."
13,Market Research and Analysis,marketing,['promotion'],Lebanon Street,Talkha,Dakahlia,Egypt,"66 Lebanon Street, Talkha, Dakahlia, Egypt",3,2024-05-07,585,done,"Collect and analyze primary and secondary research sources, including surveys, interviews, focus groups, industry reports, and market data, to identify opportunities, threats, and growth drivers."
14,Local Moving Assistance,moving,"['logistics', 'unpacking', 'relocation']",Al Ahram Street,Kafr El Sheikh,Kafr El Sheikh,Egypt,"47 Al Ahram Street, Kafr El Sheikh, Kafr El Sheikh, Egypt",8,2024-01-07,295,open,"Transport items to the new location using appropriate vehicles and equipment, ensuring timely delivery."
15,Mobile App Development Services,development,"['software', 'applications']",Al Nile Street,Abu Kebir,Sharqia,Egypt,"57 Al Nile Street, Abu Kebir, Sharqia, Egypt",10,2024-05-18,75,pending,"Design intuitive and user-friendly mobile app interfaces, wireframes, and prototypes that prioritize usability, accessibility, and engagement."
